,coal_scaled,oil_scaled,consumption_scaled,gas_scaled,other_scaled,cement_scaled,land_use_scaled,scaled_temp
coal_scaled,1.0,0.8656728785260809,0.990925128669528,0.9746367503756701,0.9086914283475303,0.9818942896289359,-0.2020080824980104,0.8708514717730848
oil_scaled,0.8656728785260809,1.0,0.965290789218392,0.91958150816545,0.8399728520049095,0.8392408775082505,-0.35984834929694226,0.7248933734190688
consumption_scaled,0.990925128669528,0.965290789218392,1.0,0.9783604585838208,0.9439521889550005,0.99179889546049,-0.5505396418506096,0.8292249272389657
gas_scaled,0.9746367503756701,0.91958150816545,0.9783604585838208,1.0,0.944960466472955,0.971415060995357,-0.22777325768676251,0.864179483329897
other_scaled,0.9086914283475303,0.8399728520049095,0.9439521889550005,0.944960466472955,1.0,0.8996378574187734,-0.052053395384897186,0.8506402091967404
cement_scaled,0.9818942896289359,0.8392408775082505,0.99179889546049,0.971415060995357,0.8996378574187734,1.0,-0.2527861343645707,0.863392876628589
land_use_scaled,-0.2020080824980104,-0.35984834929694226,-0.5505396418506096,-0.22777325768676251,-0.052053395384897186,-0.2527861343645707,1.0,-0.029281885411264124
scaled_temp,0.8708514717730848,0.7248933734190688,0.8292249272389657,0.864179483329897,0.8506402091967404,0.863392876628589,-0.029281885411264124,1.0
